ID,watershed,subcomp,plot,subplot,depth,horizon,fine_root_gm2,soil_C_gm2,soil_N_gm2,soil_CN,LF_C_gcm3,LF_N_gcm3,hPOM_C_gcm3,hPOM_N_gcm3,MAOM_C_gcm3,MAOM_N_gcm3,LF_C_gm2,LF_N_gm2,hPOM_C_gm2,hPOM_N_gm2,MAOM_C_gm2,MAOM_N_gm2,total_POC_gm2,MAOC.hPOC,MAOC.tot_POC
124,WS5,WS5b,21,21B,20 to 40,Mineral,82.0578722,1724.603606,172.4603606,10,,,,,,,,,,,,,,,
125,WS5,WS5b,21,21C,0 to 20,Mineral,228.6563188,3696.823706,298.7332288,12.375,,,,,,,,,,,,,,,
126,WS5,WS5b,21,21C,20 to 40,Mineral,86.27232485,2306.657324,215.5754508,10.7,,,,,,,,,,,,,,,
127,WS5,WS5b,22,22A,0 to 20,Mineral,652.17068,5491.57086,320.3416335,17.14285714,0.007073674,0.000176842,0.005464067,0.000321416,0.008253765,0.00074323,1414.734851,35.36837128,1092.813373,64.28313957,1650.753073,148.6460113,2507.548224,1.510553508,0.65831359
128,WS5,WS5b,22,22A,20 to 40,Mineral,545.0846239,2975.015268,178.1446268,16.7,0.004057445,7.90E-05,0.00123185,8.50E-05,0.003721148,0.000408419,811.4889403,15.80147565,246.3700404,16.99103727,744.2296263,81.68373947,1057.858981,3.020779738,0.70352442
129,WS5,WS5b,22,22B,0 to 20,Mineral,NA,4027.151964,213.561089,18.85714286,,,,,,,,,,,,,,,
130,WS5,WS5b,22,22B,20 to 40,Mineral,136.9131186,1995.21982,142.5157014,14,,,,,,,,,,,,,,,
131,WS5,WS5b,22,22C,0 to 20,Mineral,225.2912018,6147.508491,289.8329065,21.21052632,,,,,,,,,,,,,,,
132,WS5,WS5b,22,22C,20 to 40,Mineral,105.0484286,2084.292134,142.5157014,14.625,,,,,,,,,,,,,,,
133,WS5,WS5b,23,23A,0 to 20,Mineral,275.4426242,2929.515066,234.3612053,12.5,0.00667559,0.000177948,0.013566694,0.000616668,0.013204181,0.000829248,1335.117996,35.58958863,2713.338824,123.3335829,2640.836166,165.8496143,4048.45682,0.973279173,0.652306863
134,WS5,WS5b,23,23A,20 to 40,Mineral,97.05307591,1570.254572,184.735832,8.5,NA,NA,0.000470146,6.72E-05,0.004552776,0.00047924,NA,NA,94.02925473,13.43275068,910.5552134,95.8479172,94.02925473,9.683743809,9.683743809
135,WS5,WS5b,23,23B,0 to 20,Mineral,500.7899369,5722.319429,390.6020088,14.65,,,,,,,,,,,,,,,
136,WS5,WS5b,23,23B,20 to 40,Mineral,118.5296435,3509.980808,277.103748,12.66666667,,,,,,,,,,,,,,,
137,WS5,WS5b,23,23C,0 to 20,Mineral,446.5064182,4609.103704,312.481607,14.75,,,,,,,,,,,,,,,
138,WS5,WS5b,23,23C,20 to 40,Mineral,96.52783377,1708.806446,184.735832,9.25,,,,,,,,,,,,,,,
139,WS5,WS5a,24,24A,0 to 20,Mineral,511.2226899,5393.576385,212.6098575,25.36842105,0.015652937,0.000473929,0.002284591,0.000139304,0.01205494,0.001036571,3130.587341,94.78575141,456.9181043,27.86086002,2410.987949,207.3142504,3587.505445,5.276630378,0.67205137
140,WS5,WS5a,24,24A,20 to 40,Mineral,576.0718146,2857.86511,174.5261136,16.375,0.003533784,5.60E-05,0.000335283,2.14E-05,0.008558179,0.000895623,706.7567601,11.20083258,67.05658893,4.280207804,1711.635869,179.124684,773.813349,25.52524511,2.211949266
141,WS5,WS5a,24,24B,0 to 20,Mineral,428.1786417,3726.267503,179.03988,20.8125,,,,,,,,,,,,,,,
142,WS5,WS5a,24,24B,20 to 40,Mineral,51.31853452,1483.471966,152.7103494,9.714285714,,,,,,,,,,,,,,,
